['08:57:03', 11645, 11650, 22154, 22154, 22154, 11887, 101, 2334, 2334, 2334, -19820, -19820, -19820, -11786]
['08:57:13', 11645, 11650, 22396, 22396, 22396, 11907, 602, 2934, 2934, 2934, -19462, -19462, -19462, -11305]
['08:57:23', 11645, 11650, 22015, 22015, 22015, 11526, 602, 3034, 3034, 3034, -18981, -18981, -18981, -10924]
['08:57:33', 11645, 11650, 22085, 22085, 22085, 11596, 5604, 8036, 8036, 8036, -14049, -14049, -14049, -5992]
['08:57:43', 11645, 11650, 18213, 18213, 18213, 7724, 5604, 8038, 8038, 8038, -10175, -10175, -10175, -2120]
['08:57:52', 11645, 11650, 22066, 22066, 22066, 11370, 5604, 8461, 8461, 8461, -13605, -13605, -13605, -5766]
['08:58:02', 11645, 11650, 17029, 17029, 17029, 6133, 6119, 8552, 8552, 8552, -8477, -8477, -8477, -14]
['08:58:12', 11645, 11650, 17404, 17404, 17404, 6508, 6119, 8652, 8652, 8652, -8752, -8752, -8752, -389]
['08:58:22', 11645, 11650, 17150, 17150, 17150, 6204, 6119, 8652, 8652, 8652, -8498, -8498, -8498, -85]
['08:58:32', 11645, 11650, 12632, 12632, 12632, 1566, 6119, 8672, 8672, 8672, -3960, -3960, -3960, 4553]
['08:58:42', 11645, 11650, 21909, 21909, 21909, 9573, 6119, 8673, 8673, 8673, -13236, -13236, -13236, -3454]
['08:58:52', 11645, 11650, 23815, 23815, 23815, 11259, 6219, 8773, 8773, 8773, -15042, -15042, -15042, -5040]
['08:59:03', 11645, 11650, 22920, 22920, 22920, 10359, 6299, 8853, 8853, 8853, -14067, -14067, -14067, -4060]
['08:59:13', 11645, 11650, 22143, 22143, 22143, 9130, 6299, 8863, 8863, 8863, -13280, -13280, -13280, -2831]
['08:59:23', 11645, 11650, 23165, 23165, 23165, 10514, 6309, 8874, 8874, 8874, -14291, -14291, -14291, -4205]
['08:59:33', 11645, 11650, 20894, 20894, 20894, 7663, 6310, 9898, 9898, 9898, -10996, -10996, -10996, -1353]
['08:59:42', 11645, 11650, 18749, 18749, 18749, 4574, 6310, 10099, 10099, 10099, -8650, -8650, -8650, 1736]
['08:59:52', 11655, 11660, 29533, 29533, 29533, 7365, 5218, 16000, 16000, 16000, -13533, -13533, -13533, -2147]
['09:00:02', 11645, 11650, 47176, 47176, 47176, 25911, 6309, 10098, 10098, 10098, -37078, -37078, -37078, -19602]
['09:00:12', 11655, 11660, 25698, 25698, 25698, 2818, 12918, 28776, 28776, 28776, 3078, 3078, 3078, 10100]
['09:00:22', 11655, 11670, 98272, 61217, 49710, 12574, 5932, 22483, 42431, 45151, -53121, -18786, -27227, -6642]
['09:00:32', 11655, 11665, 90904, 79141, 35769, 799, 6297, 24158, 47141, 49744, -41160, -32000, -11611, 5498]
['09:00:42', 11675, 11680, 96465, 84866, 38442, 19169, 14202, 23058, 36225, 47980, -48485, -48641, -15384, -4967]
['09:00:52', 11675, 11685, 82111, 69563, 30178, 5439, 13605, 24978, 38260, 50701, -31410, -31303, -5200, 8166]
['09:01:03', 11670, 11675, 89002, 47090, 10784, 1179, 2414, 10891, 33450, 57831, -31171, -13640, 107, 1235]
['09:01:13', 11655, 11660, 61358, 35697, 28956, 3127, 7610, 21404, 43982, 48530, -12828, 8285, -7552, 4483]
['09:01:23', 11630, 11640, 27060, 23502, 18502, 3512, 6078, 12814, 15795, 24575, -2485, -7707, -5688, 2566]
['09:01:33', 11670, 11675, 114877, 71186, 12997, 8, 4673, 12009, 15655, 18508, -96369, -55531, -988, 4665]
['09:01:43', 11680, 11685, 104303, 87314, 36573, 1956, 2044, 14154, 18914, 27432, -76871, -68400, -22419, 88]
['09:01:53', 11675, 11685, 129301, 112560, 62734, 4663, 4966, 17854, 21028, 30312, -98989, -91532, -44880, 303]
['09:02:03', 11675, 11680, 125590, 106522, 36087, 4112, 2613, 17731, 20962, 29349, -96241, -85560, -18356, -1499]
['09:02:13', 11690, 11695, 127568, 109988, 84567, 27777, 10307, 22175, 31673, 39849, -87719, -78315, -62392, -17470]
['09:02:23', 11680, 11685, 54085, 33330, 17347, 1597, 6495, 15844, 21823, 37683, -16402, -11507, -1503, 4898]
['09:02:33', 11685, 11695, 86305, 67752, 39608, 7758, 2227, 16219, 33437, 36694, -49611, -34315, -23389, -5531]
['09:02:42', 11680, 11685, 72551, 49798, 30430, 500, 6995, 23431, 32120, 48493, -24058, -17678, -6999, 6495]
['09:02:52', 11670, 11675, 67192, 51408, 29736, 1390, 4908, 17310, 26529, 49346, -17846, -24879, -12426, 3518]
['09:03:02', 11665, 11670, 102082, 81587, 67797, 2238, 881, 14856, 26447, 49268, -52814, -55140, -52941, -1357]
['09:03:13', 11670, 11675, 105077, 85349, 62169, 62, 6810, 23782, 37999, 57223, -47854, -47350, -38387, 6748]
['09:03:23', 11665, 11670, 133696, 114931, 71243, 17077, 3557, 22182, 34735, 62608, -71088, -80196, -49061, -13520]
['09:03:33', 11655, 11660, 80495, 52873, 32949, 16597, 1354, 23240, 42720, 73848, -6647, -10153, -9709, -15243]
['09:03:43', 11640, 11650, 53797, 44979, 31739, 18574, 8458, 25354, 38375, 52726, -1071, -6604, -6385, -10116]
['09:03:53', 11660, 11665, 90175, 70777, 30075, 2802, 3615, 17625, 27661, 48724, -41451, -43116, -12450, 813]
['09:04:03', 11650, 11655, 84949, 51293, 34118, 1468, 7779, 30894, 46831, 66743, -18206, -4462, -3224, 6311]
['09:04:13', 11660, 11665, 106892, 84405, 45280, 15090, 6618, 29781, 51158, 77261, -29631, -33247, -15499, -8472]
['09:04:23', 11680, 11685, 114565, 89877, 48204, 2438, 6147, 24286, 35217, 53084, -61481, -54660, -23918, 3709]
['09:04:32', 11680, 11685, 114468, 93244, 49712, 8747, 1176, 20589, 29599, 54016, -60452, -63645, -29123, -7571]
['09:04:42', 11680, 11685, 113861, 89414, 46036, 2862, 3609, 24768, 35150, 85086, -28775, -54264, -21268, 747]
['09:04:52', 11700, 11705, 109172, 90785, 60883, 8579, 33554, 51004, 76956, 86690, -22482, -13829, -9879, 24975]
['09:05:03', 11725, 11730, 92672, 77186, 32552, 2571, 12542, 37982, 54195, 91129, -1543, -22991, 5430, 9971]
['09:05:13', 11760, 11770, 149474, 74618, 52085, 17117, 8769, 31781, 57290, 71615, -77859, -17328, -20304, -8348]
['09:05:23', 11820, 11830, 108906, 100492, 50721, 8949, 7285, 26354, 55869, 70271, -38635, -44623, -24367, -1664]
['09:05:33', 11805, 11815, 123260, 101318, 71034, 10072, 7885, 19644, 44728, 56923, -66337, -56590, -51390, -2187]
['09:05:43', 11800, 11810, 122075, 104656, 60001, 7852, 13642, 38913, 50274, 55395, -66680, -54382, -21088, 5790]
['09:05:53', 11800, 11805, 107523, 82332, 33173, 2378, 14899, 53435, 66621, 82743, -24780, -15711, 20262, 12521]
['09:06:03', 11835, 11845, 105345, 88135, 52633, 9337, 13957, 34470, 63218, 80334, -25011, -24917, -18163, 4620]
['09:06:13', 11865, 11870, 114209, 30859, 16239, 3, 8547, 43130, 57894, 83813, -30396, 27035, 26891, 8544]
['09:06:22', 11900, 11910, 94485, 76741, 41056, 15095, 6545, 47667, 59881, 80713, -13772, -16860, 6611, -8550]
['09:06:32', 11890, 11895, 128250, 99299, 52683, 359, 31, 37079, 50384, 75652, -52598, -48915, -15604, -328]
['09:06:42', 11880, 11885, 145228, 108983, 45337, 1719, 38, 29869, 50768, 71678, -73550, -58215, -15468, -1681]
['09:06:53', 11860, 11865, 76895, 33101, 14855, 17, 9674, 39050, 58296, 90164, 13269, 25195, 24195, 9657]
['09:07:03', 11860, 11865, 74267, 45028, 14932, 70, 2414, 42790, 58636, 85192, 10925, 13608, 27858, 2344]
['09:07:13', 11850, 11855, 87906, 74688, 25375, 6514, 90, 24207, 61161, 71719, -16187, -13527, -1168, -6424]
['09:07:23', 11840, 11845, 85590, 54030, 22252, 3475, 1178, 41778, 50314, 71396, -14194, -3716, 19526, -2297]
['09:07:33', 11845, 11850, 81309, 58437, 26196, 6584, 484, 30321, 43365, 58949, -22360, -15072, 4125, -6100]
['09:07:43', 11825, 11830, 80296, 58147, 24750, 2407, 5804, 35839, 60665, 143906, 63610, 2518, 11089, 3397]
['09:07:52', 11860, 11865, 90017, 72256, 48469, 10416, 389, 19179, 48665, 60981, -29036, -23591, -29290, -10027]
['09:08:02', 11855, 11860, 84322, 73660, 42089, 11454, 3403, 27893, 55690, 68662, -15660, -17970, -14196, -8051]
['09:08:12', 11860, 11865, 85657, 66451, 35011, 4566, 2379, 27953, 53173, 70891, -14766, -13278, -7058, -2187]
['09:08:22', 11870, 11875, 125202, 83736, 43036, 2488, 11590, 40543, 72404, 86968, -38234, -11332, -2493, 9102]
['09:08:33', 11890, 11895, 160492, 132487, 69353, 15643, 2202, 38488, 68446, 86348, -74144, -64041, -30865, -13441]
['09:08:43', 11875, 11885, 146420, 101376, 45675, 12637, 6854, 42031, 65443, 86635, -59785, -35933, -3644, -5783]
['09:08:53', 11880, 11885, 135348, 78803, 28197, 667, 6411, 38718, 62024, 87878, -47470, -16779, 10521, 5744]
['09:09:03', 11890, 11895, 144395, 105885, 47017, 5059, 9899, 87641, 104797, 134916, -9479, -1088, 40624, 4840]
['09:09:13', 11895, 11900, 138067, 121417, 75581, 10407, 7758, 43919, 60691, 78876, -59191, -60726, -31662, -2649]
['09:09:23', 11895, 11900, 130108, 102620, 63941, 7088, 100, 36259, 54028, 72352, -57756, -48592, -27682, -6988]
['09:09:33', 11880, 11890, 140472, 100423, 38266, 9887, 15018, 47677, 70974, 106315, -34157, -29449, 9411, 5131]
['09:09:43', 11860, 11865, 71332, 54394, 35994, 5360, 279, 43648, 66481, 82050, 10718, 12087, 7654, -5081]
['09:09:52', 11845, 11850, 60751, 47393, 23909, 1991, 10494, 48696, 71184, 97271, 36520, 23791, 24787, 8503]
['09:10:02', 11875, 11885, 130721, 82636, 42017, 11328, 12867, 37937, 58857, 77749, -52972, -23779, -4080, 1539]
['09:10:12', 11865, 11870, 108519, 65741, 36178, 20, 13734, 54071, 74769, 94969, -13550, 9028, 17893, 13714]
['09:10:23', 11860, 11865, 104313, 77248, 43243, 829, 11000, 43629, 70671, 89718, -14595, -6577, 386, 10171]
['09:10:33', 11860, 11865, 87658, 60136, 31455, 5766, 510, 40489, 68012, 82524, -5134, 7876, 9034, -5256]
['09:10:43', 11865, 11870, 99838, 52173, 22481, 9, 13820, 59791, 80162, 104427, 4589, 27989, 37310, 13811]
['09:10:53', 11860, 11865, 95040, 66494, 38533, 6439, 4697, 47853, 76202, 90804, -4236, 9708, 9320, -1742]
['09:11:03', 11860, 11865, 85548, 56501, 26106, 2754, 2338, 40741, 68570, 83272, -2276, 12069, 14635, -416]
['09:11:13', 11855, 11860, 90643, 61944, 23577, 2519, 16854, 55404, 75864, 104138, 13495, 13920, 31827, 14335]
['09:11:23', 11870, 11875, 135103, 65744, 32022, 15464, 8377, 47884, 75926, 98271, -36832, 10182, 15862, -7087]
['09:11:33', 11875, 11880, 167103, 82632, 26300, 4331, 14170, 50932, 75688, 103990, -63113, -6944, 24632, 9839]
['09:11:43', 11880, 11885, 163930, 98548, 29464, 490, 44339, 87275, 105092, 136817, -27113, 6544, 57811, 43849]
